"Census_Tract","Black Total Mortality","White Total Mortality","Total Mortality","Alzheimer's disease","Cancer","Chronic liver disease and cirrhosis","Chronic lower respiratory diseases","Diabetes","Flu and pneumonia","Heart disease","Homicide","Septicemia","Stroke","Suicide","Unintentional injuries"
42003010300,24,23,47,,9,,,,,13,,,,,10
42003020100,37,84,121,,23,,,,,40,,,,,15
42003020300,,8,13,,,,,,,5,,,,,
42003030500,176,16,192,,54,,7,,,50,,,7,,6
42003040200,57,35,92,,13,,7,,,19,,,5,,11
42003040400,9,145,154,8,35,,,,5,28,,,7,,9
42003040500,,27,29,,5,,,,,9,,,,,
42003040600,,18,18,,,,,,,,,,,,
42003040900,41,60,101,,20,,5,,,23,,,6,,9
42003050100,171,,176,,42,,,,7,44,6,,5,,14
42003050600,106,85,191,7,38,,5,,6,48,5,5,13,,8
42003050900,84,,88,,25,,,,,21,,,,,8
42003051000,79,,79,,17,,,,,17,,,6,,7
42003051100,37,,37,,7,,,,,10,,,,,
42003060300,16,111,127,,30,5,7,,,23,,,5,,13
42003060500,9,66,75,,16,,6,,,25,,,,,
42003070300,23,51,74,5,10,,,,,13,,,10,,
42003070500,,28,33,,5,,,,,9,,,,,5
42003070600,,36,38,,11,,,,,,,,,,
42003070800,,32,32,,,,,,,13,,,,,7
42003070900,42,147,189,16,34,,,,5,54,,6,9,,6
42003080200,,129,133,,20,,9,,,29,,,6,,12
42003080400,,33,35,,8,,,,,11,,,,,
42003080600,,46,49,,11,,,,,14,,,,,
42003080700,7,19,26,,5,,,,,7,,,,,
42003080900,10,49,59,,10,,5,,,17,,,,,5
42003090100,,76,81,,17,,5,,,23,,,,,6
42003090200,22,156,178,11,30,,11,,,44,,,6,,10
42003090300,,74,75,,15,,,,,14,,,5,,8
42003100500,61,39,100,,18,,,,,31,,,8,,
42003101100,8,107,115,,28,,6,,,26,,,7,,15
42003101400,11,147,158,,34,,5,12,,39,,,8,,15
42003101600,31,,34,,6,,,,,,,,,,
42003101700,77,30,107,,17,,8,5,,24,5,,5,,7
42003101800,30,111,141,6,29,,5,,,35,,,7,5,8
42003110200,42,110,152,7,32,,6,,,33,,6,8,,9
42003110600,13,47,60,,11,,6,,,11,,,,,
42003111300,58,47,105,,12,,,,5,25,,,,,7
42003111400,43,,46,,15,,,,,7,,,,,
42003111500,170,58,228,,50,,16,6,5,61,7,11,5,,11
42003120300,78,,82,,14,,,,,16,8,,8,,5
42003120400,63,11,74,,18,,,,,22,,,6,,
42003120700,55,,57,,10,,,,,16,,,,,
42003120800,72,31,103,6,15,,,,,26,,,,,
42003130100,72,,75,,12,,,,5,13,,,6,,
42003130200,103,,103,,27,,,,,27,6,,,,8
42003130300,103,,105,,25,,7,5,,26,6,,5,,5
42003130400,101,,103,,20,,,5,,27,5,,5,,
42003130600,182,6,188,5,44,,9,9,,45,10,,7,,13
42003140100,,91,92,6,29,,,,,18,,,7,,
42003140200,,30,31,,9,,,,,9,,,,,
42003140300,,99,102,,29,,,,,24,,,7,,
42003140400,,54,55,,10,,,,,15,,,,,5
42003140500,44,20,64,,20,,,,,12,,,,,5
42003140600,6,80,86,7,15,,7,,,23,,,,,
42003140800,,103,105,,19,,5,,,31,,,,,6
42003141000,,30,30,,10,,,,,,,,,,
42003141100,,58,59,,13,,,,,11,,,,,5
42003141300,28,185,213,12,46,,10,,5,39,,7,15,,9
42003141400,29,426,455,32,75,,14,5,11,118,,,23,6,19
42003151600,,111,114,,23,,9,,5,23,,,6,,12
42003151700,,198,199,6,43,,11,5,,52,,,8,5,18
42003160800,6,93,99,,13,,5,,,38,,,,,14
42003160900,12,103,115,,20,,6,,,42,,,,,7
42003170200,7,143,150,5,29,,8,,8,32,,,8,5,17
42003170600,,99,101,,20,,6,,,27,,,6,,16
42003180300,42,98,140,,26,,7,5,,29,,,5,,21
42003180700,28,165,193,5,33,5,18,5,5,48,,,11,8,23
42003190300,,87,88,,22,,,,,18,,,,,8
42003191100,,129,133,,40,,12,,5,28,,,,,10
42003191400,7,117,124,,27,,8,5,,30,,,6,,10
42003191500,11,81,92,,12,,9,,,31,,,,,17
42003191600,25,219,244,,44,5,18,7,5,73,,6,7,,31
42003191700,8,300,308,,70,,15,8,10,75,,5,11,5,24
42003191800,,202,205,5,53,,13,,9,47,,,15,,14
42003191900,,82,83,,25,,,,,13,,,,,9
42003192000,6,184,190,7,28,,15,,,68,,,8,,15
42003202200,36,118,154,,32,,9,5,,25,6,,7,,15
42003202300,,260,261,11,54,,10,7,7,57,,,17,,19
42003210700,108,19,127,,31,,,,,28,,,,,14
42003220600,49,34,83,,23,,,,,22,,,5,,
42003240600,15,122,137,,31,5,8,,,38,,,5,,16
42003241200,,57,62,,14,,,,,19,,,,,10
42003250300,45,10,55,,8,,,,,18,,,,,
42003250700,21,15,36,,7,,,,,12,,,,,
42003250900,19,45,64,,17,,,,,15,,,,,8
42003260200,18,57,75,,13,,5,,,23,,,,,
42003260700,27,57,84,,17,,,,,18,,5,6,,5
42003260900,57,,59,,9,,,,,9,,,6,,5
42003261200,12,52,64,,13,,,,,13,,,,,
42003261400,79,69,148,7,25,,,6,,22,,,11,,11
42003261500,73,59,132,,26,,6,,,39,5,,8,,12
42003262000,34,155,189,,31,7,15,,,55,,,8,,18
42003270100,23,95,118,,23,,7,,,30,,8,,,8
42003270300,23,82,105,,20,,5,,,30,,,5,,11
42003270400,13,29,42,,10,,,,,13,,,,,
42003270800,31,244,275,,61,,16,7,7,77,,,8,,21
42003271500,35,102,137,,34,,9,,,36,,,,,14
42003281400,22,101,123,,27,,6,,5,28,,,,,12
42003281500,,51,54,,11,,,,,10,,,,,8
42003290100,8,93,101,,26,,8,,,24,,,,,11
42003290200,12,167,179,,43,7,18,,,43,,,9,,12
42003290400,19,295,314,8,72,9,27,10,12,70,,5,11,5,23
42003300100,69,114,183,,38,,15,5,,45,,5,10,,24
42003310200,,199,199,,46,,12,,,57,,,11,,20
42003310300,,51,55,,15,,,,,11,,,,,
42003320400,6,184,190,,32,,13,8,6,51,,,,,20
42003320600,,89,90,,15,,5,,,17,,,6,,8
42003320700,,80,82,,16,,6,,,17,,,6,,
42003401100,,277,279,9,62,8,16,,,72,,8,14,5,19
42003401200,10,196,206,,46,,7,6,6,69,,,7,,19
42003401300,,184,184,10,41,,8,,,49,,,8,,10
42003402000,11,210,221,,49,,12,6,,65,,,10,,11
42003403500,18,270,288,8,63,6,14,5,,81,,5,5,9,26
42003404000,,99,99,,27,,6,,,23,,,9,,
42003405000,,74,74,5,16,,,,,15,,,,,
42003406000,,111,111,,22,,,,,42,,,,,6
42003407001,,322,324,6,89,7,14,12,,71,,10,17,,26
42003407002,,332,332,9,79,,22,5,5,73,,6,20,5,17
42003408001,,402,403,9,68,,19,7,10,108,,9,19,5,19
42003408002,,199,201,,57,,10,,5,42,,,7,5,14
42003409000,,262,266,12,53,,7,,5,76,,5,15,5,17
42003410000,,41,41,,12,,,,,5,,,,,
42003411000,,184,186,,45,,9,,,54,,,5,,10
42003412001,,211,214,,42,,7,,,70,,,11,,12
42003412002,,146,146,,31,,,,5,42,,,,,6
42003413100,,250,251,7,45,,11,5,,84,,,13,,11
42003413201,,147,148,,37,,,,,41,,,5,,7
42003413202,,128,128,5,28,,5,,,29,,,5,,8
42003413300,,301,303,16,48,,14,10,8,85,,,19,,6
42003413400,,202,204,6,42,,7,,9,55,,6,5,,6
42003413500,,401,402,19,70,,17,8,5,122,,,24,,17
42003414101,,184,185,11,44,,7,,,38,,,14,,12
42003414102,,324,325,9,71,,16,,6,89,,,19,5,19
42003414200,,249,251,13,64,,11,,6,64,,,10,,16
42003415001,,238,241,20,48,,7,,,55,,,15,,12
42003415002,,94,94,,27,,,,,27,,,,,
42003416000,,123,124,,26,,,5,5,37,,,5,,
42003417100,,151,151,6,31,6,,5,5,45,,,11,,10
42003417200,,86,86,,21,,8,,,23,,,,,8
42003418000,,119,119,7,12,5,,,,27,,,5,6,7
42003419000,,295,297,11,61,,14,5,6,82,,5,12,,22
42003420000,,82,85,,22,,6,,,23,,,,,7
42003421100,13,325,338,17,80,7,21,5,8,71,,,18,6,12
42003421200,,191,194,12,45,,9,,,56,,5,5,,12
42003422000,,142,144,13,32,,5,,,28,,,,,8
42003423000,,100,102,6,26,,,6,,20,,,,,6
42003424000,9,211,220,,42,5,9,,5,60,,5,10,,34
42003425000,,198,203,,45,,11,5,,41,,,10,,21
42003426300,,331,332,15,71,,15,,,96,,,11,,19
42003426400,,276,278,12,59,,16,,7,66,,6,15,,23
42003426700,,151,154,6,42,,9,,6,30,,6,10,,8
42003426800,,273,273,11,61,,15,,,60,,,17,,6
42003427000,,250,254,,47,,17,7,6,78,,,14,,26
42003427100,,257,258,10,60,,12,11,,65,,,14,,17
42003427200,,314,317,9,72,6,18,9,,92,,6,9,,22
42003428100,,76,76,,16,,9,,,21,,,,,7
42003428200,,137,139,,35,,6,,,41,,,6,,9
42003429100,,149,150,7,38,,7,,,32,,,7,,10
42003429201,6,272,278,15,47,,17,9,8,79,,9,11,,9
42003429202,,203,204,12,43,,9,,,57,,,6,,13
42003429300,,428,431,12,98,,28,12,6,92,,,13,,16
42003429400,,213,215,5,50,,12,6,7,49,,,17,,18
42003429500,,262,266,5,59,,19,5,8,76,,,12,10,9
42003429600,7,188,195,7,28,,11,,5,62,,,11,,10
42003429700,,135,137,,29,,7,,,39,,,6,,9
42003430100,,78,80,,15,,,,,27,,,,,6
42003430200,,203,207,5,38,,11,,,55,,6,9,9,11
42003431100,14,117,131,,27,,7,,,34,,,6,,15
42003431400,8,68,76,,13,,,,,23,,,,,
42003431500,6,145,151,,30,,5,,,36,,,8,5,24
42003432300,11,187,198,,32,,22,6,,58,,,9,,15
42003432400,10,128,138,,35,,7,,,32,,,6,,15
42003434000,,57,59,,9,,6,,,18,,,,,
42003435000,,101,104,5,20,,,,,26,,,7,,7
42003437000,,176,180,6,43,,6,,7,41,,,10,,11
42003439000,,50,51,,17,,,,,11,,,,,
42003445500,19,153,172,6,38,,8,,5,43,,,6,,10
42003446000,,54,55,,13,,,,,13,,,,,
42003447000,,56,58,,14,,5,,,12,,,,,5
42003448000,,67,71,,19,,,,,15,,,,,
42003449000,,111,115,,29,,5,7,,28,,,,,6
42003450700,14,170,184,5,43,,13,,,47,,,11,,12
42003450800,22,164,186,,35,,12,,6,54,,7,9,,17
42003451101,,128,131,,32,,9,,6,34,,,6,,7
42003451102,16,155,171,,45,,10,,,34,,9,9,,9
42003451104,,103,106,,32,,,,,22,,,,,5
42003451105,9,184,193,7,33,,9,5,,64,,5,6,,11
42003451300,8,383,391,9,77,,23,11,14,105,,,17,,16
42003452000,6,205,211,9,51,,10,,,53,,5,16,,9
42003453003,,132,132,,21,,10,,,47,,,5,,8
42003453004,7,182,189,,38,8,12,,,38,,,10,,18
42003455000,,87,88,,23,,,,,23,,,,,6
42003456001,,112,113,,34,,7,,,27,,,,,10
42003456003,,198,199,,48,5,18,6,5,47,,,9,,7
42003456004,,468,471,25,59,,25,6,18,104,,,17,,22
42003457100,,94,96,,20,,5,,,21,,,,,9
42003457200,16,259,275,12,57,,18,6,10,60,,,18,,17
42003458000,,409,413,12,100,6,24,6,9,99,,6,23,8,15
42003459101,,73,74,,24,,,,,17,,,,,5
42003459102,6,227,233,6,55,,7,,11,52,,,11,,16
42003459201,7,309,316,11,70,,15,9,6,86,,,15,,20
42003459202,,19,19,,7,,,,,,,,,,
42003460001,,324,327,15,68,,18,7,8,74,,6,10,,13
42003460002,,239,243,10,54,,10,9,7,65,,,12,,22
42003461000,,78,79,,16,,5,,,22,,,6,,
