FID,STATEFP,COUNTYFP,TRACTCE,GEOID,GEOIDFQ,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,Shape__Area,Shape__Length
1,42,003,565300,42003565300,1400000US42003565300,5653,Census Tract 5653,G5020,S,6565373,20848,+40.3994999,-079.9555215,70887554.9299316,68550.5582599192
2,42,003,458002,42003458002,1400000US42003458002,4580.02,Census Tract 4580.02,G5020,S,17643972,0,+40.4126958,-080.1336593,189902096.882385,73664.1049375684
3,42,003,458001,42003458001,1400000US42003458001,4580.01,Census Tract 4580.01,G5020,S,17615721,114258,+40.3867482,-080.1290569,190827928.455811,77954.1301700061
4,42,003,101900,42003101900,1400000US42003101900,1019,Census Tract 1019,G5020,S,857102,0,+40.4687735,-079.9401262,9224953.11437988,11545.6815433787
5,42,003,120900,42003120900,1400000US42003120900,1209,Census Tract 1209,G5020,S,1153119,0,+40.4622571,-079.9121163,12411015.1056519,15722.2911565974
6,42,003,411002,42003411002,1400000US42003411002,4110.02,Census Tract 4110.02,G5020,S,11741809,0,+40.6453535,-080.0832120,126378514.391296,77089.9577060551
7,42,003,130700,42003130700,1400000US42003130700,1307,Census Tract 1307,G5020,S,1277523,0,+40.4573260,-079.8856510,13750013.0072021,24881.521685185
8,42,003,141200,42003141200,1400000US42003141200,1412,Census Tract 1412,G5020,S,1396263,0,+40.4452265,-079.8969935,15027946.4763794,30613.9844878646
9,42,003,130800,42003130800,1400000US42003130800,1308,Census Tract 1308,G5020,S,1002798,0,+40.4533023,-079.8927341,10793071.0599365,16346.138182498
10,42,003,564800,42003564800,1400000US42003564800,5648,Census Tract 5648,G5020,S,811955,0,+40.4464112,-079.8790624,8739082.1739502,14137.1626182722
11,42,003,010302,42003010302,1400000US42003010302,103.02,Census Tract 103.02,G5020,S,580660,0,+40.4369729,-079.9852405,6249618.94476318,13658.7493178252
12,42,003,010301,42003010301,1400000US42003010301,103.01,Census Tract 103.01,G5020,S,276653,217524,+40.4340503,-079.9864299,5318873.07113647,14969.9619634296
13,42,003,564700,42003564700,1400000US42003564700,5647,Census Tract 5647,G5020,S,942558,0,+40.4380439,-079.8789072,10144744.4220581,17981.2772612925
14,42,003,412004,42003412004,1400000US42003412004,4120.04,Census Tract 4120.04,G5020,S,18597920,10752,+40.5932257,-080.1184237,200286348.654175,71390.0072869509
15,42,003,513000,42003513000,1400000US42003513000,5130,Census Tract 5130,G5020,S,2584742,158463,+40.4017394,-079.8537042,29525086.4037476,31534.118267949
16,42,003,411001,42003411001,1400000US42003411001,4110.01,Census Tract 4110.01,G5020,S,28251912,0,+40.6453112,-080.1211881,304078786.154053,71528.7992703066
17,42,003,409002,42003409002,1400000US42003409002,4090.02,Census Tract 4090.02,G5020,S,19790372,0,+40.6598214,-080.0278823,213006447.396545,65838.1383655976
18,42,003,412003,42003412003,1400000US42003412003,4120.03,Census Tract 4120.03,G5020,S,8272797,0,+40.5997823,-080.0813656,89040691.2976074,41505.8077593298
19,42,003,563201,42003563201,1400000US42003563201,5632.01,Census Tract 5632.01,G5020,S,315777,138471,+40.4495633,-079.9982749,4889070.22949219,10313.8600540622
20,42,003,409001,42003409001,1400000US42003409001,4090.01,Census Tract 4090.01,G5020,S,24155865,20971,+40.6337250,-080.0383162,260217718.884521,69376.6812470754
21,42,003,241300,42003241300,1400000US42003241300,2413,Census Tract 2413,G5020,S,1906191,327615,+40.4651965,-079.9840959,24042443.9028931,34934.5905167018
22,42,003,563202,42003563202,1400000US42003563202,5632.02,Census Tract 5632.02,G5020,S,609332,0,+40.4554381,-079.9977903,6558261.39849854,14648.9037939622
23,42,003,565200,42003565200,1400000US42003565200,5652,Census Tract 5652,G5020,S,1284592,0,+40.4574471,-080.0236644,13826025.7553101,15936.6197719887
24,42,003,565100,42003565100,1400000US42003565100,5651,Census Tract 5651,G5020,S,672618,0,+40.4569397,-080.0110035,7239410.00317383,14437.3452499748
25,42,003,261300,42003261300,1400000US42003261300,2613,Census Tract 2613,G5020,S,1957399,0,+40.4860050,-080.0059004,21067473.5823364,31481.1372720998
26,42,003,271600,42003271600,1400000US42003271600,2716,Census Tract 2716,G5020,S,1789995,0,+40.4713400,-080.0282829,19265685.2973633,28603.9945261131
27,42,003,562901,42003562901,1400000US42003562901,5629.01,Census Tract 5629.01,G5020,S,2251624,585395,+40.4080909,-079.9478036,30534866.0245667,38311.4501127059
